,original_name,release_date,genres,overview,total_views,popularity,vote_average,vote_count,content
0,Moana,2016,Animation Comedy Family Adventure,"In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.",25683,42.705,7.6,10347,"Animation Comedy Family Adventure 2016 In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right."
1,Churchill,2017,Drama History,A ticking-clock thriller following Winston Churchill in the 24 hours before D-Day.,2898,17.312,6.1,254,Drama History 2017 A ticking-clock thriller following Winston Churchill in the 24 hours before D-Day.
2,Coco,2017,Animation Comedy Family Adventure Fantasy Music,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",10867,249.121,8.2,15529,"Animation Comedy Family Adventure Fantasy Music 2017 Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history."
3,Kidnap,2017,Drama Thriller,A mother (in her Minivan) stops at nothing to recover her kidnapped son.,2263,50.668,6.2,1098,Drama Thriller 2017 A mother (in her Minivan) stops at nothing to recover her kidnapped son.
4,The Accountant,2016,Crime Drama Thriller,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",4157,46.956,7.0,5001,"Crime Drama Thriller 2016 As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise."
5,The Birth of a Nation,2016,Drama,"Nat Turner, a former slave in America, leads a liberation movement in 1831 to free African-Americans in Virginia that results in a violent retaliation from whites.",7189,14.211,6.5,460,"Drama 2016 Nat Turner, a former slave in America, leads a liberation movement in 1831 to free African-Americans in Virginia that results in a violent retaliation from whites."
6,Baywatch,2017,Comedy Crime Action,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay.",23031,85.812,6.1,6924,"Comedy Crime Action 2017 Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay."
7,Alien: Covenant,2017,Mystery Horror Science Fiction,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition.",14477,126.832,6.0,7044,"Mystery Horror Science Fiction 2017 Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition."
8,Kingsman: The Golden Circle,2017,Comedy Crime Action Adventure Thriller,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world.",3141,113.614,7.0,8546,"Comedy Crime Action Adventure Thriller 2017 When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world."
9,Pitch Perfect,2012,Comedy Music Romance,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",3423,33.897,7.3,5752,"Comedy Music Romance 2012 College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions."
