adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/18vHzORk7OZNUe8WALrUlKPrhF0.jpg,"[10749, 35]",12620,en,The House Bunny,"Shelley is living a carefree life until a rival gets her tossed out of the Playboy Mansion. With nowhere to go, fate delivers her to the sorority girls from Zeta Alpha Zeta. Unless they can sign a new pledge class, the seven socially clueless women will lose their house to the scheming girls of Phi Iota Mu. In order to accomplish their goal, they need Shelley to teach them the ways of makeup and men; at the same time, Shelley needs some of what the Zetas have - a sense of individuality. The combination leads all the girls to learn how to stop pretending and start being themselves.",24.452,/4oGGJ824vqIqDtyMvMuK44pDEmx.jpg,2008-08-22,The House Bunny,False,5.7,1604
False,/2nHUsjZM1lZxBDe49QZIy9WVxqa.jpg,[35],64807,en,Grudge Match,A pair of aging boxing rivals are coaxed out of retirement to fight one final bout -- 30 years after their last match.,23.616,/jTq9jYTKKo6EhQPso4xTMpPYYXW.jpg,2013-12-25,Grudge Match,False,6.1,1060
False,/nuijC0rSLcVfkfxEJVdqMDrnSba.jpg,"[878, 28, 12, 35]",98566,en,Teenage Mutant Ninja Turtles,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",179.376,/azL2ThbJMIkts3ZMt3j1YgBUeDB.jpg,2014-08-07,Teenage Mutant Ninja Turtles,False,5.9,5828
False,/ikpwuaK0yzNhXO24OeB7cKulhZE.jpg,"[16, 10751]",10895,en,Pinocchio,"Lonely toymaker Geppetto has his wishes answered when the Blue Fairy arrives to bring his wooden puppet Pinocchio to life. Before becoming a real boy, however, Pinocchio must prove he's worthy as he sets off on an adventure with his whistling sidekick and conscience, Jiminy Cricket.",114.983,/ynkEEi296ofs9kCfRWcaWxOWN1n.jpg,1940-02-23,Pinocchio,False,7.1,4809
False,/dqHW4Biml1sHvhFbjbcEzqdj2e9.jpg,"[10749, 18]",322903,en,Naz & Maalik,"Two closeted Muslim teens hawk goods across Brooklyn and struggle to come clean about their sexuality, as their secretive behavior leads them unknowingly into the cross-hairs of the War on Terror.",2.092,/jQuxNWZyPsY2LZFnIuAKEq4qKZk.jpg,2015-01-01,Naz & Maalik,False,6.6,11
False,/i0EofUlH8Uqc8GFizbxrmrAem2G.jpg,"[10749, 35]",50544,en,Friends with Benefits,"Dylan and Jamie think it's going to be easy to add the simple act of sex to their friendship, despite what Hollywood romantic comedies would have them believe. They soon discover however that getting physical really does always lead to complications.",65.508,/nKhhDFCdzxeJ3GUunQ570LDpUkz.jpg,2011-07-21,Friends with Benefits,False,6.7,6757
False,/JXO3RAMyRTtKc1LdarQnB1GCBm.jpg,"[80, 53, 9648]",70436,en,The Raven,"A fictionalized account of the last days of Edgar Allan Poe's life, in which the poet is in pursuit of a serial killer whose murders mirror those in the writer's stories.",48.754,/cocc5Etbq9pgfOl3jCz9QDh3EHB.jpg,2012-03-09,The Raven,False,6.3,1067
False,/vVpEOvdxVBP2aV166j5Xlvb5Cdc.jpg,"[28, 53, 80]",458156,en,John Wick: Chapter 3 - Parabellum,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",143.595,/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,2019-05-15,John Wick: Chapter 3 - Parabellum,False,7.4,7839
False,/oBU55I99gZTRYag25Q5eJUKZeG6.jpg,"[80, 9648, 53]",1817,en,Phone Booth,"A slick New York publicist who picks up a ringing receiver in a phone booth is told that if he hangs up, he'll be killed... and the little red light from a laser rifle sight is proof that the caller isn't kidding.",16.866,/o9b4cA1USAUXz0oxwWVja7sMNFa.jpg,2003-04-04,Phone Booth,False,6.8,2928
False,/9yxIBACv6GZs9JrhizDW6SEYaNu.jpg,"[10751, 16, 12, 35]",16340,en,Rugrats in Paris: The Movie,"A group of naughty toddlers called the Rugrats take a trip to Paris. As they travel from the Eiffel Tower to Notre Dame, they learn new lessons about trust, loyalty, and love.",17.55,/foOPCU5GMw3QT88iEfoTRrdWRFD.jpg,2000-09-14,Rugrats in Paris: The Movie,False,6.6,388
False,/tTlAA0REGPXSZPBfWyTW9ipIv1I.jpg,"[28, 12, 878, 18]",315635,en,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",245.406,/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,2017-07-05,Spider-Man: Homecoming,False,7.4,18383
False,/sQntWUAO0zp2DmM5gMOBpO1K1B8.jpg,"[35, 10749]",10591,en,The Girl Next Door,"Exceptionally ambitious high schooler Matthew has aspirations for a career in politics when he falls in love with his gorgeous 19-year-old neighbor, Danielle. But Matthew's bright future is jeopardized when he finds Danielle was once a porn star. As Danielle's past catches up with her, Matthew's love for her forces him to re-evaluate his goals.",56.871,/5mVyFHSY2rSsNgD4NfEwV82HigU.jpg,2004-04-09,The Girl Next Door,False,6.7,2732
False,/xsf5OTEEV6aCXTq5a7rFq5vTR4s.jpg,"[18, 53, 10752]",328796,en,Burn Country,A former war journalist now writing for a paper in Northern California is drawn into conflict at home.,5.373,/2ID9xRpzM18lc8yIKPxvys4kYQB.jpg,2016-04-16,Burn Country,False,5.3,23
False,/rF0Y0fYVsNFEvGve8Nq0Ij9EDCM.jpg,"[53, 878, 28, 12]",869,en,Planet of the Apes,"After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade.",48.635,/2IZcJHsTugOdyg0Y8ejj4CM2X3a.jpg,2001-07-25,Planet of the Apes,False,5.7,3256
False,/rX7EDn70R2L0ijCPRbz5cjoQ73h.jpg,"[28, 53, 18, 80]",4959,en,The International,"An interpol agent and an attorney are determined to bring one of the world's most powerful banks to justice. Uncovering money laundering, arms trading, and conspiracy to destabilize world governments, their investigation takes them from Berlin, Milan, New York and Istanbul. Finding themselves in a chase across the globe, their relentless tenacity puts their own lives at risk.",13.231,/8c9olEa8xtSKoThXu0qjiD6mgtd.jpg,2009-02-03,The International,False,6.2,959
False,/lPWwB2CJP3pf9S3xXf6xPnfmtXQ.jpg,[35],69798,en,The Inbetweeners Movie,"High school graduation just wouldn’t be complete without an un-chaperoned, uninhibited and unforgettable final holiday. At least that’s what Will, Jay, Simon and Neil think when they book a two-week stay on an exotic Greek island. As their dreams of sun-drenched days and booze-filled nights are left hopelessly unfulfilled, the lads fight their way into the party scene with hilariously humiliating results in this smash hit UK raunchy comedy.",13.591,/nePYsVp0qU8EbSXeUdr3xEkHlzN.jpg,2011-08-19,The Inbetweeners Movie,False,6.1,732
False,/azheZwmLAiWZyDuL416NL0IxvFp.jpg,"[35, 878, 12, 10751]",11260,en,Meet Dave,"A crew of miniature aliens operate a spaceship that has a human form. While trying to save their planet, the aliens encounter a new problem, as their ship becomes smitten with an Earth woman.",27.055,/3Qfav5aVRcZmq854olMjJ795JJ2.jpg,2008-07-08,Meet Dave,False,5.3,1132
False,/qhwmkPBg9MithppIXhUNVCYA4uR.jpg,"[12, 35, 10751, 878]",11158,en,"Honey, I Blew Up the Kid","Wayne Szalinski is at it again. But instead of shrinking things, he tries to make a machine that can make things grow. As in the first one, his machine isn't quite accurate. But when he brings Nick & his toddler son Adam to see his invention, the machine unexpectedly starts working. And when Adam comes right up to the machine, he gets zapped along with his stuffed bunny.",17.598,/iLWZJAIcSqthsmJ3pMbtiE9Ap6N.jpg,1992-07-16,"Honey, I Blew Up the Kid",False,5.2,918
False,/6jajFcaY2YsfGQstJ5HaqZNVseX.jpg,"[27, 878, 9648]",126889,en,Alien: Covenant,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition.",126.832,/zecMELPbU5YMQpC81Z8ImaaXuf9.jpg,2017-05-09,Alien: Covenant,False,6,7044
