backdrop_path,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,poster_path,vote_average,vote_count
/r1e0lDIsezrklektX82AetUHr5m.jpg,2017-02-08,"[10759, 10765]",67195,Legion,['US'],en,Legion,"David Haller, AKA Legion, is a troubled young man who may be more than human. Diagnosed as schizophrenic, David has been in and out of psychiatric hospitals for years. But after a strange encounter with a fellow patient, he’s confronted with the possibility that the voices he hears and the visions he sees might be real.",47.874,/vT0Zsbm4GWd7llNjgWEtwY0CqOv.jpg,7.6,1065
/sSVmLcHMrOtZapIY0ip6M7shMjA.jpg,2014-10-13,"[35, 18]",61418,Jane the Virgin,['US'],en,Jane the Virgin,"A comedy-drama following a chaste young woman who is accidentally impregnated via artificial insemination as she struggles to inform her devoutly religious family and make the right choices concerning the child. Based on the telenovela ""Juana la virgen.""",112.22,/DRRHgvsNEfBloMgIP8bBw4zi4E.jpg,8,668
/2MoGj8pxVHgyBb3mAsfhYO67j5h.jpg,2017-01-18,"[10768, 18, 80, 10759]",66871,SIX,['US'],en,SIX,Action drama series inspired by the real missions of Navy SEAL Team Six.,43.218,/doqvfJojBwtprn3qPxb4ndO3lom.jpg,7.4,427
/zQ23AcMVtKCDNBVJhfS4P7W8bzY.jpg,2011-09-20,"[80, 18, 9648]",39276,Unforgettable,['US'],en,Unforgettable,"Former Syracuse, New York, police detective Carrie Wells has hyperthymesia, a rare medical condition that gives her the ability to visually remember everything. She reluctantly joins the New York City Police Department's Queens homicide unit after her former boyfriend and partner asks for help with solving a case. The move allows her to try to find out the one thing she has been unable to remember, which is what happened the day her sister was murdered.",40.878,/e2dAn2rf2CfYIt9HNN06GFOSfxi.jpg,7.2,234
/aKYAuHyDIGnIAd35UAv1cpYWPWL.jpg,2017-12-06,"[10759, 18]",73117,Knightfall,['US'],en,Knightfall,Go deep into the clandestine world of the legendary brotherhood of warrior monks known as The Knights Templar.,33.496,/5T3VJOF4ti3ep6JXqSgyzSGdv0h.jpg,7,242
/x3i8okUNTx0s7A7DlXAZjlxHFP5.jpg,2006-10-01,"[80, 18, 9648]",1405,Dexter,['US'],en,Dexter,"Dexter Morgan, a blood spatter pattern analyst for the Miami Metro Police also leads a secret life as a serial killer, hunting down criminals who have slipped through the cracks of justice.",118.019,/58H6Ctze1nnpS0s9vPmAAzPcipR.jpg,8.2,2913
/vIZws4xW6ZwNZ9tNmY0mlG0jdH0.jpg,2013-09-05,[99],62291,Ultimate Airport Dubai,['AE'],en,Ultimate Airport Dubai,"Less than 55 years ago, Dubai International Airport was a vast desert of sand.

Today, it is a modern mecca of international air travel.

With a staggering 344,000 flights, 57 million passengers and 2 million tons of cargo flying in and out each year, it is the worlds third busiest airport for international passengers.

In Ultimate Airport Dubai, step behind-the-scenes of Dubai Internationals three massive terminals, including Terminal 3 the largest building on earth by floor space, measuring 359 football pitches in size!

With unprecedented access to all facets of this mega facility, the series follows some of the 60,000 staff working hard to keep it safe, secure, and on schedule.",3.867,/bjKzQoPs4M5AOGTRFKAse6mMEA4.jpg,7.8,5
/gXCgmUIXp7YbrLZxkIzBE8fCD3N.jpg,2014-05-26,"[99, 10768]",61132,The World Wars,['US'],en,The World Wars,"The story of three decades of war told through the eyes of various men who were its key players: Roosevelt, Hitler, Patton, Mussolini, Churchill, Tojo, DeGaulle and MacArthur. The series examines the two wars as one contiguous timeline starting in 1914 and concluding in 1945 with these unique individuals coming of age in World War I before ultimately calling the shots in World War II.",7.512,/y3KL7tlWsaLpB7zL1yAO5BZhoXG.jpg,7.9,11
/kFxhKp8QVD0LbmteTA3UIfNlvCX.jpg,2015-09-27,"[80, 18, 9648]",62816,Quantico,['US'],en,Quantico,"A diverse group of recruits has arrived at the FBI Quantico Base for training. They are the best, the brightest and the most vetted, so it seems impossible that one of them is suspected of masterminding the biggest attack on New York City since 9/11.",46.681,/3ofY2mALEiE0QDyRlVOV3sDNMYC.jpg,6.5,499
/jdri5Eu0yQfPe6h0MbOM7hbXrZC.jpg,2012-09-28,"[10759, 16, 10762, 10765]",51817,Teenage Mutant Ninja Turtles,['US'],en,Teenage Mutant Ninja Turtles,"The Teenage Mutant Ninja Turtles are back in an all-new animated series on Nickelodeon! Surfacing topside for the first time on their fifteenth birthday, the titular turtles, Leonardo, Michelangelo, Raphael and Donatello, find that life out of the sewers isn't exactly what they thought it would be. Now the turtles must work together as a team to take on new enemies that arise to take over New York City.",67.304,/ncSzMsFCy5HXQzo3JBgxkX10FER.jpg,8.2,452
/pSzi3aQRaNSvzwgqy2VEsXeC2Jm.jpg,2011-01-24,"[16, 10751, 10762]",39107,Bubble Guppies,['US'],en,Bubble Guppies,"The adventures of seven fish-tailed kids- Molly, Gil, Oona, Deema, Nonny, Goby, and Zooli!",33.349,/mxZOTFDGsvQ7YD2zxWrWVInqBxw.jpg,8.1,25
/jL2cwqjeTCQN7jZQLwl081kejyM.jpg,2017-04-16,[18],70215,The White Princess,['US'],en,The White Princess,"The story of Elizabeth of York, the White Queen's daughter, and her marriage to the Lancaster victor, Henry VII. Based on the Philippa Gregory book of the same name.",52.346,/8urYFWrEd8ue94Fm4JpHccQg3M7.jpg,7.9,184
/2Ne8sYfnnRVl9BaghudN8bSkMnW.jpg,1997-03-31,"[10751, 10762]",1682,Teletubbies,['GB'],en,Teletubbies,"Pre-school fun, fantasy and education with colourful rotund characters Tinky Winky, Dipsy, Laa-Laa and Po in a magical land called Teletubbyland.",37.572,/orb9uGxgXs1Lo69SWwWeS5MxA2l.jpg,3.8,91
/xCxqONPF5HzwPDIapgxdMNZXiqy.jpg,2003-09-02,[16],20517,Rubbadubbers,['GB'],en,Rubbadubbers,The Rubbadubbers is a British stop motion animation children's show from Hot Animation which is owned by HIT Entertainment.,3.551,/AkeCYiHTyI2yeUj651Pf26UJ5gu.jpg,7.5,2
/oEKbj7OAKJzK8iTZc4C59dVI87G.jpg,2010-08-17,"[18, 35]",31936,Melissa & Joey,['US'],en,Melissa & Joey,"Mel is a local politician from a political family. When a family scandal leaves her niece, Lennox, and nephew, Ryder, without their parents, Mel takes them in. She hires Joe to become the family's male nanny, or ""manny,"" after a Ponzi scheme leaves him broke.",19.272,/fTl1DSKH2VP5o70b44wsYJLn1xP.jpg,6.9,77
