adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/hDSincZUv9EGM1uJNzQAsRxYWyX.jpg,"[28, 35, 10749]",59962,en,This Means War,Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,18.739,/7d1hwECRc1NZlGfAeYE42ki7Fem.jpg,2012-02-14,This Means War,False,6.1,2854
False,/sBOTeV38Xf3xyvzEq8tpHor6pCJ.jpg,[35],73937,en,The Big Year,"Three fanatical bird-watchers spend an entire year competing to spot the highest number of species as El Nino sends an extraordinary variety of rare breeds flying up into the U.S., but they quickly discover that there are more important things than coming out on top of the competition.",11.271,/q6Pr8fWKh664seri2MaQeIJ6eSI.jpg,2011-10-13,The Big Year,False,6,612
False,/1EZ1inz6o8UCzDohXSrKoeSUL9N.jpg,[35],387889,en,Buddymoon,"When David is left by his fiancé just days before the wedding, Flula, his relentlessly upbeat best man, insists that the pair go on David's previously planned honeymoon: a seven-day backpacking trip through the breathtaking mountains of Oregon. Their adventures are bookended with passages from William Clark's diary describing his friendship with Meriwether Lewis and the terrain they crossed during their expedition.",3.944,/eP8CNI8U2PlHLN72IEi7KqzP4MA.jpg,2016-07-01,Buddymoon,False,6.1,28
False,/goNk0VDnUjxKjB6o69kYS5vvZo2.jpg,"[878, 28, 12, 53]",200,en,Star Trek: Insurrection,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",15.67,/xQCMAHeg5M9HpDIqanYbWdr4brB.jpg,1998-12-11,Star Trek: Insurrection,False,6.4,898
False,/lXwvQ7JEHm5kaHPVm7QR4mAnOkN.jpg,"[35, 18]",9991,en,Mean Machine,"Disgraced ex-England football captain, Danny 'Mean Machine' Meehan, is thrown in jail for assaulting two police officers. He keeps his head down and has the opportunity to forget everything and change the lives of the prisoners. When these prisoners have the chance to put one over the evil guards during a prison football match, Danny takes the lead.",12.028,/ripTQsmWQJyccK6zB1dajSY3olv.jpg,2001-12-26,Mean Machine,False,6.2,445
False,/68KpdTMdBTEemcvPZ09J8C32WpG.jpg,"[10402, 35, 10751, 14, 18]",10437,en,The Muppet Christmas Carol,"A retelling of the classic Dickens tale of Ebenezer Scrooge, miser extraordinaire. He is held accountable for his dastardly ways during night-time visitations by the Ghosts of Christmas Past, Present, and Future.",12.494,/ssrV29QSVVJuemBHho0Qx7pFYak.jpg,1992-12-10,The Muppet Christmas Carol,False,7.4,680
False,/322Ha7eo5eCdtEkrYaVWeglLnsJ.jpg,[35],239573,en,Unfinished Business,"A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable – and unimaginable – way, including unplanned stops at a massive sex fetish event and a global economic summit.",18.265,/eVWVZf3fkx9eNqbHyn9xNlmC2h4.jpg,2015-03-05,Unfinished Business,False,5.4,672
False,/brJaRHLNWsLNSB8AcYGqO5HyJ1A.jpg,"[28, 35, 80]",90,en,Beverly Hills Cop,"The heat is on in this fast paced action-comedy starring Eddie Murphy as Axel Foley, a street smart Detroit cop tracking down his best friend's killer in Beverly Hills. Axel quickly learns that his wild style doesn't fit in with the Beverly Hills Police Department, which assigns two officers (Judge Reinhold & John Ashton) to make sure things don't get out of hand. Dragging the stuffy detectives along for the ride, Axel smashes through a huge culture clash in his hilarious, high-speed pursuit of justice. Featuring cameos by Paul Reiser, Bronson Pinchot and Damon Wayans, Beverly Hills Cop is an exhilarating, sidesplitting adventure.",15.924,/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg,1984-11-30,Beverly Hills Cop,False,7.2,3115
False,/nLyw8npzojNqffBzXCT3znEADNf.jpg,"[28, 80, 53]",180299,id,The Raid 2: Berandal,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.",42.73,/olA39iaXISiKEkACdELgr0ZRvIF.jpg,2014-03-27,The Raid 2,False,7.6,1811
False,/aDnCTWpWMHcQxOeGWsITmoLuEGy.jpg,"[16, 35, 10751, 14]",9297,en,Monster House,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",46.206,/zCRPr4bkO3ae0U1134vJ39xZnAG.jpg,2006-06-30,Monster House,False,6.6,3136
False,/yYIdCG6V4DzGf2j2NnW7K5nXfeu.jpg,"[18, 28, 53, 80]",220820,en,Blood of Redemption,"Quinn Forte had it all: power, money, a brother who idolized him, and a woman who loved him. He also had enemies. In the course of one night, he loses everything. Betrayed by someone in his inner circle, Quinn is set up and arrested. His father, the patriarch of the criminal empire is killed and his brother suspects that Quinn is behind it all. When he's released from jail he tries to escape the demons from his past, but that becomes an impossible task. Campbell, the ruthless new leader of ""The Company"" won't let him leave in peace. So instead of escaping them, Quinn fights back. He joins forces with his former henchman and friend, The Swede, and takes on his enemies head on.",23.163,/vxMQiHh2lP6Dq46R2OyvXYA8XqB.jpg,2013-09-23,Blood of Redemption,False,4.9,38
